# Age[Myr]   Lxuv[erg.s-1]
4.759804331590776982e+00 5.791136529937637104e+29
4.800558568111268798e+00 5.760709357315677497e+29
4.841661749184657637e+00 5.730031440909401511e+29
4.883116862532245861e+00 5.699100565137668463e+29
4.924926921456733275e+00 5.669370044324704517e+29
4.967094965061185974e+00 5.639559920975481448e+29
5.009624058469988483e+00 5.609503987005728764e+29
5.052517293051618452e+00 5.579200292157060505e+29
5.095777786643394869e+00 5.550010622971314166e+29
5.139408683778052378e+00 5.520800333005358419e+29
5.183413155912330872e+00 5.491348991209905356e+29
5.227794401657547496e+00 5.461654755416889464e+29
5.272555647012027613e+00 5.433011222906386707e+29
5.317700145595641636e+00 5.404394312630874874e+29
5.363231178886285200e+00 5.375541065542948992e+29
5.409152056458442104e+00 5.346449678094944713e+29
5.455466116223695927e+00 5.318405036745938079e+29
5.502176724673381258e+00 5.290432249321815195e+29
5.549287277123326589e+00 5.262228519575304818e+29
5.596801197960582286e+00 5.233792092709187516e+29
5.644721940892376999e+00 5.206259892678416292e+29
5.693052989197181724e+00 5.178794206113792102e+29
5.741797855977847753e+00 5.151101201161295414e+29
5.790960084416997056e+00 5.123179092043473810e+29
5.840543248034602897e+00 5.096139384381279342e+29
5.890550950947678999e+00 5.069213541979344627e+29
5.940986828132296615e+00 5.042064837566684261e+29
5.991854545687789191e+00 5.014691368334901290e+29
6.043157801103275162e+00 4.988207054780455099e+29
6.094900323526356800e+00 4.961823488800940374e+29
6.147085874034214470e+00 4.935221267464721735e+29
6.199718245907038572e+00 4.908398744712811963e+29
6.252801264903673939e+00 4.882461894824252627e+29
6.306338789539764456e+00 4.856616248251655950e+29
6.360334711368192728e+00 4.830556226856575086e+29
6.414792955262003993e+00 4.804280080536139488e+29
6.469717479699619744e+00 4.778950544561363790e+29
6.525112277052613763e+00 4.753712574236596323e+29
6.580981373875946616e+00 4.728265298152028348e+29
6.637328831200573376e+00 4.702607071292707667e+29
6.694158744828687446e+00 4.678026388035819229e+29
6.751475245631404221e+00 4.653541931686143991e+29
6.809282499849088843e+00 4.628854037838898860e+29
6.867584709394107811e+00 4.603961121443152601e+29
6.926386112156298402e+00 4.579943140920681382e+29
6.985690982311060004e+00 4.555979165009411277e+29
7.045503630629950109e+00 4.531816030373804741e+29
7.105828404794068298e+00 4.507452079341159314e+29
7.166669689710126079e+00 4.483896826214779592e+29
7.228031907829095104e+00 4.460419122443888749e+29
7.289919519467702003e+00 4.436746006502233164e+29
7.352337023132698768e+00 4.412875908185318652e+29
7.415288955847750607e+00 4.389809693426435267e+29
7.478779893483291197e+00 4.366877236807704889e+29
7.542814451089102867e+00 4.343753806333484536e+29
7.607397283229836660e+00 4.320437922944777321e+29
7.672533084323255537e+00 4.297812921681147158e+29
7.738226588981508058e+00 4.275327527522140173e+29
7.804482572355325942e+00 4.252654127165745784e+29
7.871305850481030930e+00 4.229791203888611879e+29
7.938701280630660051e+00 4.207580594074076640e+29
8.006673761665009437e+00 4.185561924052127707e+29
8.075228234389784987e+00 4.163358897178407050e+29
8.144369681914643166e+00 4.140969946260007815e+29
8.214103130015450560e+00 4.119211443799201769e+29
8.284433647499659159e+00 4.097640748591306764e+29
8.355366346574639280e+00 4.075889033111664267e+29
