time_yr,Phi_input,Phi_diff_H,Phi_diff_O,Phi_crit,Phi_light,Phi_heavy,Phi_dl,Phi_df,Phi_c,Phi_l,Phi_h,Phi_total
4218436873.7474947,1851.6788450722524,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4228456913.827655,1846.2832433231915,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4238476953.9078155,1840.9160787312364,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4248496993.9879756,1835.5771347231082,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4258517034.0681357,1830.2661968804862,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4268537074.1482964,1824.983052913555,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4278557114.2284565,1819.7274926349467,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4288577154.3086166,1814.4993079340502,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4298597194.388777,1809.2982927517046,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4308617234.468938,1804.124243055253,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4318637274.549098,1798.9769568139582,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4328657314.629258,1793.8562339747727,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4338677354.709418,1788.761876438459,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4348697394.789578,1783.6936880360481,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
